"is_interactive","number_of_scripts","number_of_completed_tutorials","author_name","join_date","features","activedays","receivedpositivereviews","subscribers","score"
"1","77","6","justin jones","2012-09-26 17:09:22","80","28","2","0","30"
"1","76","4","Jake the man","2013-05-05 04:10:17","328","61","0","0","56"
"1","72","2","nhnhnhnh","2011-08-25 11:26:48","354","127","15","0","75"
"1","72","5","Andrew Wang the bomb","2013-09-04 18:38:00","72","19","1","0","27"
"1","72","3","erich3115","2013-08-15 01:16:13","18","12","0","0","20"
"1","70","6","Amrun Thandi","2013-09-04 12:27:54","64","16","3","9","37"
"1","70","6","hay nakei!","2013-10-21 19:13:47","80","26","6","3","37"
"1","70","6","Rondey Sio","2013-09-09 17:32:33","49","23","0","0","24"
"1","70","7","User34826","2013-08-06 13:41:16","93","33","1","0","31"
"1","70","6","User99277","2013-06-26 20:02:47","68","10","0","0","25"
"1","70","5","Alex Young","2013-02-04 17:12:44","124","66","0","0","36"
"1","69","3","hassaun hastings","2013-01-22 17:13:59","134","79","0","0","38"
"1","68","4","Briana Conger","2013-10-10 17:24:07","83","11","1","0","28"
"1","68","4","Gibranal NN","2013-06-03 15:08:49","147","35","2","0","37"
"1","68","2","User0537","2011-08-05 16:14:03","177","3","0","0","29"
"1","66","5","cakemix6009","2013-06-04 05:38:37","70","17","0","0","26"
"1","65","4","User55899","2013-11-21 21:58:38","79","2","0","0","18"
"1","65","4","parmjit gill","2013-09-11 12:31:59","111","18","3","2","35"
"1","64","3","BarbaraPuÅ¡nar","2012-10-25 14:09:26","133","43","3","0","38"
"1","64","4","Raf Capili","2013-09-10 17:44:15","90","42","0","0","31"
"1","63","3","TheMurfitt","2013-10-19 20:27:37","149","28","0","0","34"
"1","63","3","Wabbit Apps","2011-08-03 20:59:17","829","348","39","0","146"
"1","63","3","hiyayakko","2013-10-12 01:00:35","104","32","2","0","33"
"1","63","6","Imani Jones","2013-09-25 17:56:25","67","18","0","0","25"
"1","63","3","User0847","2011-09-23 20:24:01","386","502","46","3","122"
"1","63","7","Acacia Ward","2013-08-15 18:28:17","79","9","0","0","25"
"1","62","2","CoatsyAus","2012-07-20 03:15:10","352","186","43","3","87"
"1","60","4","POOF12345","2013-09-04 18:33:03","93","22","0","2","31"
"1","60","5","mohamed mohamed","2013-09-18 17:14:51","88","29","1","0","29"
"1","60","4","User88558","2013-01-25 15:50:16","70","56","0","0","30"
"1","60","3","User99545","2012-09-18 17:19:16","115","41","0","0","33"
"1","57","3","KLaw3000","2013-02-25 20:44:21","96","25","1","0","30"
"1","56","4","MindSticks","2012-10-25 16:44:41","678","267","6","1","118"
"1","56","6","fintabasa","2013-09-17 17:48:06","66","23","0","0","26"
"1","56","6","Anis Hassan","2013-09-10 17:18:14","47","32","0","0","25"
"1","56","6","JediFighter01","2013-09-25 04:14:24","27","9","1","1","22"
"1","56","7","boeing&john","2013-09-08 02:08:03","76","14","1","0","27"
"1","56","6","User74175","2013-03-26 01:51:12","32","2","1","0","15"
"1","56","3","PTPT1804","2012-09-26 17:15:47","123","39","3","0","36"
"1","54","3","your average hero ","2013-09-04 18:33:02","115","24","9","1","41"
"1","54","5","R1C3xN1NJA","2013-09-05 01:04:33","79","23","0","0","27"
"1","54","6","Cory Palmer","2013-10-25 02:09:36","14","4","0","0","14"
"1","54","6","Hannah Townsend","2013-09-11 09:56:44","56","9","0","0","23"
"1","54","3","abipriya","2013-05-27 02:55:51","142","37","5","0","40"
"1","54","6","Towmonster","2013-05-27 03:04:49","112","67","0","0","35"
"1","54","3","Pinestraw","2013-05-16 15:14:50","122","10","0","0","31"
"1","52","3","YashodaR","2012-09-21 17:04:37","109","25","1","0","31"
"1","52","3","xXKaSuKy2Xx","2012-09-19 17:06:42","131","39","4","0","38"
"1","51","3","User73980","2013-10-08 18:16:49","201","40","0","0","42"
"1","50","5","Deja Aaliyah","2012-04-03 17:07:36","56","37","3","1","30"
"1","50","2","User83481","2012-01-24 18:32:53","293","65","1","0","54"
"1","50","5","zaven.ham","2013-08-16 16:00:40","104","16","0","0","29"
"1","50","9","Maya Noble","2013-05-21 02:34:02","51","8","0","0","22"
"1","49","6","jpn@090119t7","2013-07-22 15:47:32","52","7","0","0","21"
"1","49","7","Michael Hudson","2013-09-11 11:55:19","60","7","0","0","22"
"1","49","6","love Breesa  ","2013-06-24 21:07:54","66","15","0","0","25"
"1","49","6","zippfel66","2013-05-23 19:01:10","24","4","0","0","15"
"1","48","5","Just so Awsome","2013-10-21 19:12:38","74","21","3","1","31"
"1","48","6","ChonyBon","2013-10-22 18:29:26","49","20","1","0","25"
"1","48","4","Darbi Finney","2013-10-04 18:19:30","99","11","0","0","28"
"1","48","6","Aman Singh 24","2013-09-04 12:27:34","90","13","3","2","33"
"1","48","4","Gursharan Kaur","2013-09-11 12:23:01","97","13","1","3","32"
"1","48","4","Adrian_Nita","2012-10-24 21:30:27","100","69","7","0","41"
"1","48","2","Miguel HM","2012-04-03 17:17:18","134","33","2","1","37"
"1","45","4","daniel_koh1","2013-10-21 19:10:47","78","19","5","0","31"
"1","45","3","ben soars","2013-09-04 12:30:15","113","10","5","0","35"
"1","45","4","Yaniv Nahum","2013-10-07 14:19:06","94","6","0","0","24"
"1","44","2","User69391","2013-01-19 22:31:11","300","83","4","0","60"
"1","44","2","cookedkiwis","2013-06-15 05:55:31","160","22","0","0","36"
"1","44","3","Timbernguyen","2012-09-18 17:24:38","124","45","2","0","36"
"1","44","3","User32232","2012-09-26 17:16:52","136","31","2","0","36"
"1","44","3","User32852","2012-10-18 17:41:00","114","32","1","0","33"
"1","42","6","Prince Salazar","2013-09-10 17:19:58","30","23","0","0","23"
"1","42","6","Luca Volton","2013-10-19 22:10:34","36","2","0","0","14"
"1","42","7","Christopher Sill","2013-10-04 18:19:33","74","12","0","0","26"
"1","42","2","Salim Usman","2013-10-07 11:11:50","24","4","1","0","16"
"1","42","7","Ben Clark","2013-09-12 13:49:59","60","6","0","0","21"
"1","42","6","shaaaybabbby","2013-06-24 20:49:22","35","11","0","0","22"
"1","42","2","together three","2012-03-16 02:11:34","280","135","18","0","69"
"1","42","2","User7695","2011-08-07 21:28:27","193","17","9","0","47"
"1","40","7","Hafsa Abshir8","2013-11-14 21:07:20","48","3","0","0","16"
"1","40","3","AndyRageMaster","2013-10-22 01:00:11","58","25","2","1","28"
"1","40","4","ONGpandacrazy101","2013-10-21 19:16:03","72","22","0","1","28"
"1","40","6","Angel Boyles","2013-09-24 01:33:17","64","26","0","0","26"
"1","40","7","bulletkitten","2013-09-12 13:48:15","59","13","0","0","24"
"1","40","7","Ryan Towse-Voller","2013-09-12 13:49:32","27","6","0","0","17"
"1","40","5","Maxmillian Frazier","2013-06-26 20:35:26","57","11","0","0","24"
"1","40","6","Malcolm Gomes","2013-06-04 20:17:54","18","6","0","0","16"
"1","40","2","Brent Farris","2012-02-26 10:13:51","252","42","7","0","54"
"1","39","3","MS Pil Egypt","2013-05-20 11:53:22","103","47","1","0","33"
"1","38","2","BobOnMIWA","2012-11-24 18:49:40","108","39","3","0","34"
"1","36","6","Lakhdeep P","2013-09-11 12:16:06","61","13","0","4","29"
"1","36","6","mj njie61","2013-10-29 20:10:59","48","6","0","0","19"
"1","36","6","misseryOlife .","2013-05-30 09:32:47","83","17","0","1","28"
"1","36","3","Isac Daniel ","2013-06-04 05:24:52","189","42","4","2","46"
"1","36","6","Alysia Christakos","2013-08-15 20:08:30","78","4","1","0","21"
"1","36","6","Arianna Arango","2013-08-15 22:40:49","69","3","2","0","20"
"1","36","2","User32226","2013-02-17 15:57:30","163","25","3","0","39"
"1","35","6","James Mitchell","2013-09-04 12:27:59","35","23","2","2","27"
"1","35","6","AYO LOVEY","2013-10-31 14:29:57","31","6","0","0","18"
"1","35","4","Shelly Horowitz","2013-11-03 08:53:56","78","6","0","0","22"
"1","35","5","Rich Ledbetter","2013-05-22 06:16:03","95","82","2","0","37"
"1","35","6","parker golden","2013-10-19 19:09:07","14","1","0","0","11"
"1","35","6","Aadam Muhammad","2013-10-19 19:10:46","44","1","0","0","14"
"1","35","5","User57141","2013-09-03 23:07:54","81","14","0","0","27"
"1","35","4","KrisWard","2013-09-11 11:49:37","60","6","0","0","21"
"1","35","7","webee.User3709","2011-12-01 19:11:48","39","7","0","0","19"
"1","33","3","Kenneth Ynoa","2013-11-15 23:13:41","82","5","0","0","22"
"1","33","3","Aaron Lakhanpal.","2013-09-11 12:16:30","88","45","11","4","44"
"1","32","4","Rion_Shooter","2013-09-11 12:16:13","82","15","1","11","38"
"1","32","3","User203620","2013-10-11 17:16:51","64","33","1","0","28"
"1","32","6","Masi Tum3","2013-10-31 20:59:30","62","6","0","0","21"
