"is_interactive","number_of_scripts","number_of_completed_tutorials","author_name","join_date","features","activedays","receivedpositivereviews","subscribers","score"
"1","16","1","BarbaraPuÅ¡nar","2012-10-25 14:09:26","133","43","3","0","38"
"1","16","4","Bob Brain","2013-10-15 15:51:15","86","5","0","0","22"
"1","16","2","fintabasa","2013-09-17 17:48:06","66","23","0","0","26"
"1","16","1","Raf Capili","2013-09-10 17:44:15","90","42","0","0","31"
"1","16","2","Anis Hassan","2013-09-10 17:18:14","47","32","0","0","25"
"1","16","2","washabletch","2013-11-07 07:48:09","90","6","0","0","24"
"1","16","2","King of the castle","2013-11-03 08:57:34","76","7","0","0","23"
"1","16","1","Amy_Chan4","2013-06-01 20:55:14","102","14","0","0","29"
"1","16","1","Yiruma rOn","2012-10-26 17:21:36","188","63","1","0","43"
"1","16","1","kgsathish","2013-02-08 05:05:17","112","41","3","0","36"
"1","16","2","liuxiaobin","2013-04-13 15:55:33","97","10","0","0","28"
"1","16","1","bradrageatgame","2012-08-23 15:46:36","91","20","15","0","39"
"1","15","3","Goran Debeljak","2013-11-12 13:19:50","59","7","0","0","21"
"1","15","1","Joopi Apps","2012-09-04 06:02:54","90","57","9","0","41"
"1","15","3","olivia tromans","2013-11-20 15:21:24","64","1","0","0","16"
"1","15","3","User174170","2013-11-13 21:56:17","79","5","0","0","21"
"1","15","3","whiteshark98","2013-11-13 07:00:22","70","4","0","0","20"
"1","15","3","User62393","2013-11-13 14:05:16","77","3","0","0","19"
"1","15","3","Jason Lowe","2013-10-22 01:12:18","69","23","0","1","27"
"1","15","1","User88558","2013-01-25 15:50:16","70","56","0","0","30"
"1","15","1","Jurrijan","2013-08-27 16:28:52","156","18","0","0","34"
"1","15","1","User59437","2012-04-03 17:18:14","97","21","3","1","33"
"1","15","1","User55121","2012-04-03 17:21:02","87","29","0","1","29"
"1","14","1","MindSticks","2012-10-25 16:44:41","678","267","6","1","118"
"1","14","2","Ally Waight","2013-09-11 12:17:46","67","10","4","4","33"
"1","14","2","User461665","2013-11-16 16:14:34","58","6","0","0","20"
"1","14","2","Peccadillo","2013-11-09 17:51:08","69","5","2","0","22"
"1","14","2","Corey Chu","2013-10-22 03:28:29","71","20","0","0","27"
"1","14","2","KrisWard","2013-09-11 11:49:37","60","6","0","0","21"
"1","14","1","User422486","2012-10-26 17:15:34","177","83","1","0","44"
