is_interactive,	number_of_scripts,	number_of_completed_tutorials,	author_name,	join_date,	features,	activedays,	receivedpositivereviews,	subscribers,	score,	
0,	66,	1,	ZedStudio,	2013-08-18 04:58:51,	425,	134,	3,	1,	77,
0,	62,	2,	Harishguna Satgunarajah,	2013-04-25 01:30:25,	163,	62,	1,	0,	41,
0,	62,	2,	Kidlat MC,	2013-10-21 19:10:57,	133,	38,	20,	6,	51,
0,	60,	3,	theimpossiblegirl,	2013-09-04 18:33:43,	125,	38,	9,	2,	44,
0,	60,	3,	Briana Conger,	2013-10-10 17:24:07,	121,	17,	1,	0,	32,
0,	51,	1,	rahel galato,	2013-06-26 20:47:37,	136,	77,	1,	0,	39,
0,	48,	2,	Junjie Lin,	2013-11-20 15:31:33,	117,	6,	1,	0,	27,
0,	48,	3,	Elliot Zhao,	2013-09-04 22:08:14,	133,	40,	1,	0,	36,
0,	45,	3,	Pusheen <3,	2013-10-03 06:20:22,	115,	53,	84,	9,	60,
0,	42,	3,	zfrohardt,	2013-06-25 00:26:50,	210,	44,	0,	0,	43,
0,	40,	2,	THE_BOMB.COM,	2013-09-04 18:32:22,	109,	35,	12,	3,	44,
0,	40,	4,	YoungjinMa,	2013-09-04 18:32:45,	87,	33,	9,	3,	41,
0,	38,	1,	Vinh Duong,	2013-09-10 17:33:41,	134,	72,	3,	0,	41,
0,	38,	2,	Andrew Harris,	2013-12-09 14:56:36,	117,	7,	0,	0,	27,
0,	37,	1,	User62505-JDP,	2013-03-21 04:55:56,	77,	29,	1,	0,	28,
0,	35,	1,	Dusty Cat,	2013-01-16 01:47:18,	409,	244,	39,	3,	97,
0,	34,	2,	Gibranal NN,	2013-06-03 15:08:49,	147,	36,	2,	0,	37,
0,	33,	3,	AllisonL,	2013-09-04 22:06:36,	125,	37,	2,	0,	35,
0,	32,	2,	User618706,	2013-12-14 10:22:33,	113,	11,	0,	0,	30,
0,	30,	3,	Aratakan ,	2013-10-21 19:10:47,	88,	28,	5,	0,	33,
