is_interactive,	number_of_scripts,	number_of_completed_tutorials,	author_name,	join_date,	features,	activedays,	receivedpositivereviews,	subscribers,	score,	
1,	90,	5,	JayDotNet,	2013-12-09 03:09:50,	131,	14,	0,	0,	32,
1,	89,	1,	user 8896,	2011-10-05 09:05:06,	766,	522,	160,	4,	175,
1,	84,	2,	Denis Mukhametov,	2012-12-12 03:50:28,	448,	290,	29,	1,	103,
1,	83,	1,	Michael Sean McGhee,	2013-03-24 00:16:11,	72,	45,	0,	0,	29,
1,	80,	2,	Native Earthling,	2013-09-04 03:36:09,	126,	40,	9,	0,	43,
1,	80,	2,	User955734,	2013-05-05 03:23:45,	141,	24,	0,	0,	34,
1,	72,	2,	simret gebrehiowt,	2013-09-09 17:36:32,	105,	54,	2,	0,	35,
1,	72,	3,	james mclellan,	2013-08-30 14:29:23,	99,	28,	0,	0,	29,
1,	72,	3,	Petri Asperk,	2012-10-25 17:40:18,	152,	65,	1,	0,	40,
1,	70,	2,	Dusty Cat,	2013-01-16 01:47:18,	409,	244,	39,	3,	97,
1,	66,	2,	Mister Peli,	2012-10-27 01:59:17,	134,	82,	7,	0,	46,
1,	66,	2,	Elvis Presley,	2013-09-09 17:26:29,	99,	57,	1,	0,	33,
1,	64,	2,	Samuel Woldemariam,	2013-09-09 17:39:53,	100,	67,	1,	0,	35,
1,	63,	3,	TheMurfitt,	2013-10-19 20:27:37,	149,	30,	0,	0,	35,
1,	62,	2,	Harishguna Satgunarajah,	2013-04-25 01:30:25,	163,	62,	1,	0,	41,
1,	62,	1,	Sore Finger,	2011-11-19 07:21:25,	503,	245,	295,	16,	140,
1,	60,	3,	Wabbit Apps,	2011-08-03 20:59:17,	1064,	396,	53,	0,	177,
1,	60,	3,	THE_BOMB.COM,	2013-09-04 18:32:22,	109,	35,	12,	3,	44,
1,	60,	3,	Tobuscus,	2013-10-24 20:55:22,	114,	18,	1,	0,	31,
1,	60,	1,	SchraySoft,	2011-12-09 18:04:25,	192,	75,	5,	2,	51,
1,	56,	4,	Xiaoming Zhao,	2013-12-29 19:50:37,	88,	4,	0,	0,	21,
1,	56,	1,	User85075,	2012-09-18 17:16:28,	246,	122,	8,	0,	62,
1,	54,	2,	Kevin Seng,	2013-04-18 19:29:23,	165,	27,	1,	0,	37,
1,	52,	2,	Panda Rica Garcia,	2013-09-09 17:37:39,	104,	51,	0,	0,	33,
1,	52,	4,	User0777022,	2013-12-07 20:33:15,	104,	3,	0,	0,	22,
1,	52,	2,	michalcomputerstudio,	2013-01-12 15:22:23,	288,	64,	6,	1,	59,
1,	51,	3,	Gibranal NN,	2013-06-03 15:08:49,	147,	36,	2,	0,	37,
1,	48,	4,	User77146,	2013-12-11 21:35:57,	75,	8,	0,	0,	24,
1,	48,	3,	black bead,	2014-01-03 05:08:43,	87,	3,	0,	0,	20,
1,	48,	3,	bignate17,	2013-12-30 21:26:36,	87,	5,	0,	0,	22,
